item,weight
太仓,3
立案查处,6
42,16
起,250
药械,3
违法行为,60
 ,7229
保障,192
百姓,74
用药,7
安全,472
（,619
原,72
标题,46
：,1330
吃,67
对,1357
药,5
就,988
好医,1
）,622
城乡,44
结合部,6
及,411
农村,217
地区,122
的,18466
小,171
药店,5
诊所,3
点多面广,1
，,38390
且,51
直接,91
面向基层,2
老百姓,61
。,14089
为了,235
进一步,279
加强,234
药品,42
和,3348
医疗器械,4
质量,132
监管,78
今年,256
7,270
月,1443
—,567
10,407
太仓市,2
市场,184
监督,86
管理局,34
开展,681
了,5804
集中,158
整治,234
工作,1827
进行,825
本次,92
检查,143
共出动,8
执法人员,40
484,1
人次,26
出动,23
执法,130
车辆,184
30,206
余次,13
辖区,116
内,270
62,9
家,205
零售,12
企业,640
43,11
全,147
覆盖,95
累计,64
发现,298
未,81
凭处方,1
销售,125
处方药,1
、,11079
过期,4
按照,145
说明书,2
标签,7
标示,2
贮存,2
等,1732
另外,26
还,601
中,1136
12,259
严格,72
贮藏,1
要求,287
储存,7
陈列,2
行为,115
8,267
执业,6
药师,1
不,826
在,4598
岗,42
履职,17
9,208
门诊,9
执行,232
进货,7
查验,12
记录,45
制度,106
责令,15
整改,70
本文,27
来源,112
苏州,67
日报,29
责任编辑,45
严令,1
健,2
_,122
b7246,1
汉阴,9
警方,191
为,1967
十余名,5
受害,14
农民工,51
发放,80
被,826
追回,18
欠薪,12
款近,4
25,77
万元,225
11,233
日,1001
上午,137
汉阴县,18
公安局,208
铁佛,5
派出所,159
民警,447
户籍,31
大厅,39
当场,52
代表,193
向,462
公安机关,76
赠送,13
锦旗,20
2016,124
年,1726
3,443
该所,17
接到,90
人力资源,10
社会,431
保障局,7
转来,5
案件,316
移送,28
书,21
称,60
铁佛寺,3
镇,222
龙泉,6
小区,134
项目部,9
拖欠,19
工资,49
281970,2
元,221
报案,24
后,865
高度重视,54
迅速,117
立案侦查,12
经,138
侦查,81
建筑,82
商人,3
杨,90
某于,3
2012,40
负责,122
承建,6
项目,510
总,112
工程款,6
730,3
万,75
合同,19
约定,9
开发商,4
某,193
支付,57
完,47
杨某,25
截止,20
案发,14
一直,174
未向,2
付某,5
人,1122
劳动报酬,13
249790,3
工人,73
多次,134
讨要,3
社局,11
分别,102
以,710
各种,94
理由,14
逃避,9
拒,11
配合,82
立案,33
办案,74
奔赴,17
外地,23
调查取证,14
查明,15
案情,17
固定,31
债权债务,3
关系,46
单位,263
传讯,3
犯罪,249
嫌疑人,276
均,98
不到,62
案,57
接受,100
调查,98
列为,16
“,5361
网逃,3
”,5362
通缉,3
期间,137
放松,7
寻找,66
2017,311
31,30
历经,14
一年,108
之,154
久,15
贵州,64
毕节,5
帮助,258
下,474
成功,207
抓捕归案,3
打印,6
公诉人,7
反复,32
被告人,12
思想,172
教育,382
赃款,7
7100,2
多万,9
沭阳,21
网,113
近年来,95
民间,24
资本,34
不断,249
活跃,16
